trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
11,True,"{'a': 0.03, 'e': 0.0006361984595385054}",20,7,24.463716014982676,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.03, 'e': 0.0006112527611295726}",25,9,23.057833929423815,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.03, 'e': 0.000587285197545991}",20,0,22.410806491263898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.03, 'e': 0.000564257415572674}",30,12,21.695034152290354,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.03, 'e': 0.0005421325658456088}",35,21,24.823527472330543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.03, 'e': 0.0005208752438850124}",30,5,35.666498527876044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.03, 'e': 0.0005004514334406106}",30,8,36.951164482902264,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.03, 'e': 0.00048082845205838046}",20,8,20.260225028482807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.03, 'e': 0.0004619748987816515}",20,0,24.317778226588427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.03, 'e': 0.00044386060390287424}",25,2,37.22681082094089,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
