trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.03, 'e': 0.18637397603941}",20,7,-25.769073671990526,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.03, 'e': 0.17906614791149325}",25,9,-8.409892999455767,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.03, 'e': 0.17204486382305054}",20,0,13.671123829662378,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.03, 'e': 0.16529888822158656}",20,7,24.837370444552118,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.03, 'e': 0.1588174261069207}",20,0,-6.721843991982676,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.03, 'e': 0.15259010575688386}",20,11,-45.75040856127231,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.03, 'e': 0.14660696213035015}",30,0,-15.446327339871372,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.03, 'e': 0.140858420921045}",25,8,21.722135811051256,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.03, 'e': 0.1353352832366127}",30,22,16.67676341233211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.03, 'e': 0.13002871087842593}",20,2,13.11874108360498,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.03, 'e': 0.12493021219858243}",20,2,29.434640702857802,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.03, 'e': 0.12003162851145674}",25,16,12.165182990600085,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.03, 'e': 0.11532512103806253}",25,1,37.39427799305666,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.03, 'e': 0.11080315836233387}",20,15,7.902895043669237,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.03, 'e': 0.10645850437925282}",20,4,26.10828729833449,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.03, 'e': 0.10228420671553745}",20,6,26.078075645001544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.03, 'e': 0.09827358560436156}",30,20,-7.989218700715335,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.03, 'e': 0.09442022319630236}",25,8,-21.45914763255709,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.03, 'e': 0.09071795328941253}",20,16,6.468091062236226,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.03, 'e': 0.08716085146198131}",20,16,7.057571362502034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.03, 'e': 0.08374322559219596}",30,3,27.14167678277679,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.03, 'e': 0.08045960674953244}",25,10,23.786648377297034,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.03, 'e': 0.07730474044329975}",20,8,22.79648523130908,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.03, 'e': 0.07427357821433389}",20,10,19.464608940869034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.03, 'e': 0.07136126955638607}",30,14,-12.015666336295688,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
